Comment,Designator,Footprint,LCSC,Quantity
0,"R3,R4,R7",R_0402_1005Metric,C17168,3
0.1/1% PT2512K 070R1L,R19,R_2512_6332Metric,C25466,1
0.1uF,"C10,C13,C15,C16,C17,C19,C22,C23,C26,C28,C3,C31,C32,C4,C54,C6,C60,C61,C62,C7,C9",C_0402_1005Metric,C1525,21
1.5k,R50,R_0402_1005Metric,C25867,1
100K(1%),R28,R_0402_1005Metric,C25741,1
100nF,"C35,C38,C40,C43,C44,C48,C49",C_0402_1005Metric,C1525,7
10K,"R21,R22,R23,R27",R_0402_1005Metric,C25744,4
10k,"R1,R2",R_0402_1005Metric,C25744,2
10nF,C18,C_0402_1005Metric,C15195,1
10uF,"C1,C2,C24,C36,C37,C39,C46,C47,C50,C51,C52,C53,C55,C57,C8",C_0603_1608Metric,C19702,15
12MHz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
12pF,"C12,C14",C_0402_1005Metric,C1547,2
18pF,"C41,C42",C_0402_1005Metric,C1549,2
1k,"R10,R12,R13,R33,R34",R_0402_1005Metric,C11702,5
1uF,"C11,C25,C27,C29,C5",C_0402_1005Metric,C52923,5
2.2K,"R100,R101,R102,R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R94,R95,R96,R97,R98,R99",R_0402_1005Metric,C25879,39
2.2uH,"L1,L2",L_1008_2520Metric,C279858,2
22.1K(1%),R29,R_0402_1005Metric,C2929993,1
22pF,"C30,C56",C_0402_1005Metric,C1555,2
22uF,C33,C_0603_1608Metric,C59461,1
25Mhz 12pf,Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006,1
4.7K,"R114,R16,R17,R20,R24,R25,R26,R73,R93",R_0402_1005Metric,C25900,9
4.7uF,"C20,C21",C_0402_1005Metric,C23733,2
40MHz(+-10 ppm) C501798,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C501798,1
47K,R18,R_0402_1005Metric,C25792,1
499k,"R5,R6",R_0402_1005Metric,C137971,2
5.1K(1%),"R30,R31",R_0402_1005Metric,C25905,2
6.19K,R11,R_0402_1005Metric,C25914,1
CH334F,U7,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,C5187527,1
Conn_01x04,J14,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
INA219AxD,U6,SOIC-8_3.9x4.9mm_P1.27mm,C138706,1
IPGRI,U4,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,C703537,1
LED_Small,"ACTIVE1,D5,D6,D8,D9,PORT1,PORT2,PORT3,PORT4",LED_0603_1608Metric,C84267,9
LESD5D5.0CT1G,"D2,D3,D4",D_SOD-523,C5274290,3
MT9700_SY6280,"U8,U9",SOT-23-5,C55136,2
PI4IOE5V9535ZDEX,"U11,U12,U5",VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,C3188776,3
RJ45_Hanrun_HR911105A_Horizontal,J19,RJ45_Hanrun_HR911105A_Horizontal,C12074,1
R_Protect,"R14,R15,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R8,R9",R_0402_1005Metric,C17168,39
SW_Push,"SW1,SW2",SW_Push_1P1T-MP_NO_Horizontal_Alps_SKRTLAE010,C110293,2
TLV62569DBV,"U10,U3",SOT-23-5,C141836,2
USB_A_Stacked,J13,USB_A_Wuerth_61400826021_Horizontal_Stacked,C456021,1
USB_C_Receptacle_USB2.0_16P,J3,USB_C_Receptacle_HRO_TYPE-C-31-M-31,C2760486,1
W25Q128JVS,U1,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,C190862,1
WS2812B,D1,WS2812B-4020,C965557,1
~,U2,ESP32-P4,C22387510,1
