Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
ACTIVE1,LED_Small,LED_0603_1608Metric,182.699,-119.85,0.0,top
C1,10uF,C_0603_1608Metric,143.2444,-79.5712,90.0,bottom
C10,0.1uF,C_0402_1005Metric,143.3714,-82.530002,0.0,bottom
C11,1uF,C_0402_1005Metric,133.0856,-81.2252,0.0,bottom
C12,12pF,C_0402_1005Metric,151.728,-80.244,180.0,top
C13,0.1uF,C_0402_1005Metric,133.0908,-82.2412,0.0,bottom
C14,12pF,C_0402_1005Metric,151.7762,-84.3588,180.0,top
C15,0.1uF,C_0402_1005Metric,145.7336,-82.781402,90.0,bottom
C16,0.1uF,C_0402_1005Metric,145.759,-84.892202,90.0,bottom
C17,0.1uF,C_0402_1005Metric,147.3364,-87.229002,180.0,bottom
C18,10nF,C_0402_1005Metric,136.7674,-87.6862,90.0,bottom
C19,0.1uF,C_0402_1005Metric,137.7674,-87.6862,90.0,bottom
C2,10uF,C_0603_1608Metric,138.0374,-80.7012,270.0,bottom
C20,4.7uF,C_0402_1005Metric,138.7674,-87.7062,90.0,bottom
C21,4.7uF,C_0402_1005Metric,153.144,-88.776302,90.0,top
C22,0.1uF,C_0402_1005Metric,143.3942,-87.076602,0.0,bottom
C23,0.1uF,C_0402_1005Metric,137.6564,-90.9882,270.0,bottom
C24,10uF,C_0603_1608Metric,143.219,-85.781202,0.0,bottom
C25,1uF,C_0402_1005Metric,142.6094,-91.5952,-90.0,top
C26,0.1uF,C_0402_1005Metric,136.6696,-91.392002,270.0,bottom
C27,1uF,C_0402_1005Metric,138.6724,-90.9882,270.0,bottom
C28,0.1uF,C_0402_1005Metric,144.188,-91.5148,-90.0,top
C29,1uF,C_0402_1005Metric,143.2444,-91.8772,270.0,bottom
C3,0.1uF,C_0402_1005Metric,141.5934,-80.0662,90.0,bottom
C30,22pF,C_0402_1005Metric,151.6428,-88.217502,180.0,bottom
C31,0.1uF,C_0402_1005Metric,139.6884,-91.7782,270.0,bottom
C32,0.1uF,C_0402_1005Metric,143.3942,-88.092602,0.0,bottom
C33,22uF,C_0603_1608Metric,147.6068,-89.779302,90.0,top
C35,100nF,C_0402_1005Metric,165.7129,-81.1578,180.0,top
C36,10uF,C_0603_1608Metric,165.7129,-82.4278,180.0,top
